pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.0495,0.1231,0.0014,-0.0015,0,,,26.72937,0.0841,,,0.82,0.86,171.689687,3.0071331,18.2038
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.054,0.123,0.001,-0.001,0,,,25.10857,0.079,,,0.78,0.85,171.689687,3.0071331,18.2038
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.054,0.12186,0.00002,-0.00002,0,,,27.65,0.087,,,0.96,0.83,171.689687,3.0071331,18.2038
HD 99706 b,HD 99706,0,1,2,Radial Velocity,2011,868,2.14,0.08,-0.08,0,,,444.9,1.4,,,5.4,1.72,172.1261621,43.9662025,146.6
HD 99706 b,HD 99706,1,1,2,Radial Velocity,2011,841,1.98,0.14,-0.14,0,,,390.9309,1.23,,,5.52,1.46,172.1261621,43.9662025,146.6
HD 99706 b,HD 99706,0,1,2,Radial Velocity,2011,868,2.13,0.08,-0.08,0,,,441.7837,1.39,,,6.29,1.7,172.1261621,43.9662025,146.6
HIP 105854 b,HIP 105854,1,1,1,Radial Velocity,2014,184.2,0.81,0.03,-0.03,0,,,2606.1,8.2,,K2 III,,2.1,321.5962275,-37.8294782,78.6381
HIP 107772 b,HIP 107772,1,1,1,Radial Velocity,2020,55.199,0.243,0.011,-0.011,0,,,12.9,0.04059,,M0 V,,0.63,327.4977057,-41.2440371,23.6434
HIP 107773 b,HIP 107773,1,1,1,Radial Velocity,2015,144.3,0.72,0.03,-0.03,0,,,629.3034,1.98,,K1 III,11.6,2.42,327.5005089,-64.7126993,105.18
HIP 109384 b,HIP 109384,1,1,1,Radial Velocity,2016,499.48,1.134,0.029,-0.029,0,,,495.8148,1.56,,G5,,0.78,332.408972,71.313956,58.9582
HIP 109600 b,HIP 109600,1,2,1,Radial Velocity,2016,232.08,0.706,0.016,-0.016,0,,,851.7844,2.68,,G5,,0.87,333.027079,29.0662082,66.3361
HIP 114933 b,HIP 114933,1,1,1,Radial Velocity,2021,1481.6,2.84,0.09,-0.09,0,,,616.58711,1.94,,K0 III,5.27,1.39,349.2071949,-21.2033101,101.766
HIP 116454 b,HIP 116454,0,2,1,Transit,2014,9.0949,0.07765,0.00093,-0.00093,0,2.53,0.226,10.1,0.03178,745,,0.72,0.76,353.9543517,0.4447043,62.4491
HIP 116454 b,HIP 116454,0,2,1,Transit,2014,9.1205,0.0906,0.0049,-0.0049,0,2.53,0.226,11.82,0.037,690,K1,0.72,0.78,353.9543517,0.4447043,62.4491
HIP 116454 b,HIP 116454,1,2,1,Transit,2014,9.1004157,0.0792,0.0011,-0.001,0,2.469,0.22,9.7,0.03052,753,,0.76,0.8,353.9543517,0.4447043,62.4491
HIP 12961 b,HIP 12961,0,1,1,Radial Velocity,2010,57.435,0.25,,,0,,,111.2405,0.35,,,0.66,0.62,41.6800749,-23.0860048,23.371
HIP 12961 b,HIP 12961,1,1,1,Radial Velocity,2010,57.435,0.25,0.01,-0.01,0,,,114.4188,0.36,,,0.65,0.69,41.6800749,-23.0860048,23.371
HIP 14810 b,HIP 14810,1,1,3,Radial Velocity,2005,6.673892,0.0696,0.0044,-0.0044,0,,,1239.537,3.9,,G5,1.07,1.01,47.809275,21.0971302,50.48
HIP 14810 b,HIP 14810,0,1,3,Radial Velocity,2005,6.673855,0.0692,0.004,-0.004,0,,,1233.1804,3.88,,G5 V,1,0.99,47.809275,21.0971302,50.48
HIP 14810 b,HIP 14810,0,1,3,Radial Velocity,2005,6.674,0.0692,0.004,-0.004,0,,,1220.4672,3.84,,,,0.99,47.809275,21.0971302,50.48
HIP 14810 b,HIP 14810,0,1,3,Radial Velocity,2005,6.67386,0.07,0,0,0,,,1074.2654,3.38,,,1.04,0.81,47.809275,21.0971302,50.48
HIP 14810 b,HIP 14810,0,1,3,Radial Velocity,2005,6.6742,0.0692,0.004,-0.004,0,,,1242.66,3.91,,,1.03,0.98,47.809275,21.0971302,50.48
HIP 14810 c,HIP 14810,0,1,3,Radial Velocity,2006,95.2847,0.407,0.023,-0.023,0,,,241.54,0.76,,,1.03,0.98,47.809275,21.0971302,50.48
